sample	weighted_NSTI
G34369	0.08801643917589178
G34370	0.09202578377272673
G34371	0.10004765414653255
G34372	0.09201699322447875
G34373	0.09302968952355882
G34374	0.0720463403712216
G34375	0.10137686068848668
G34376	0.07748949731113958
G34377	0.06985126852319297
G34378	0.07543017749260848
