Feature ID	Taxon	Confidence
07211f04b31f4d0630c6d7b8d3c31c8176ef935a	d__Eukaryota; p__Ciliophora; c__Intramacronucleata_Spirotrichea; o__Hypotrichia; f__Holostichidae; g__Holosticha; s__uncultured_eukaryote	0.9175766195541275
07271b2856bfcc81455127ddb3734f1781395ac1	d__Eukaryota	0.9999999999999963
073c0481729c0bd3c1714d1d03e8b42408c8614e	d__Eukaryota; p__Cercozoa; c__Novel_Clade_2; o__Novel_Clade_2; f__Novel_Clade_2; g__Novel_Clade_2; s__uncultured_Rhizaria	0.9456427747861961
08135b9162f7aa7ccda735d2e4abdbf9c43d662b	d__Eukaryota; p__Metazoa; c__Metazoa; o__Metazoa; f__Eumetazoa_Mollusca; g__Mytilus; s__Mytilus	0.9999665544259009
08852db99a6f44ee78f6f077fc3546b17fe353d4	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II	0.9978676953656428
08d1bc9ef389a3017b0f387617d13d444afa8dd0	d__Eukaryota; p__Cryptophyta; c__Cryptophyceae; o__Pyrenomonadales; f__Geminigeraceae	0.9377472744982398
0a52ac8c255b9d371b34e8c6f5495cc62b22f135	d__Eukaryota; p__Cercozoa; c__Imbricatea; o__Marimonadida; f__Marimonadida; g__Pseudopirsonia; s__uncultured_eukaryote	0.8526732764296442
0a8e2b4c211a13ad71f62ddc282c45331c6ea415	d__Eukaryota; p__Cercozoa; c__Novel_Clade_2; o__Novel_Clade_2; f__Novel_Clade_2; g__Novel_Clade_2; s__uncultured_Rhizaria	0.9053588123136594
0abd7d863edd39dd7e4e50789f78778af3eba69f	d__Eukaryota; p__Holozoa	0.8449011345797496
0b0fbaec8e504540aa526efc23d69c606fb71087	d__Eukaryota; p__Cryptophyta; c__Cryptophyceae; o__Pyrenomonadales; f__Chroomonadaceae; g__Hemiselmis; s__Hemiselmis_rufescens	0.9999963244324211
0b4c3ca4ef7128740e022c2d247662c8f32c0a96	d__Eukaryota; p__Cryptophyta; c__Cryptophyceae; o__Cryptomonadales; f__Cryptomonadales; g__Cryptomonadales; s__uncultured_Cryptophyta	0.9562497175632143
0b56abf1c31e8f6ac958b65b0a153046da92e8c8	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Cryothecomonas	0.7270087455216842
0c3869bfb94d16d061edea587e0c92de2e1b4028	d__Eukaryota; p__Metazoa; c__Metazoa; o__Metazoa; f__Eumetazoa_Tunicata; g__Oikopleura; s__Oikopleura	0.9999999989930757
0c84367db2936ecaa15356e124cc439aa661ce37	d__Eukaryota; p__Metazoa; c__Metazoa; o__Metazoa; f__Eumetazoa_Mollusca; g__Mytilus; s__Mytilus	0.9999990519846964
0e15291de02f2d9c04ed26ee076c997cc5e19afc	d__Eukaryota	1.0000000000000044
0e2511fa4600ec71bf7f0b886b40c044d2afec15	d__Eukaryota; p__Cryptophyta; c__Cryptophyceae; o__Pyrenomonadales; f__Chroomonadaceae; g__Hemiselmis; s__Hemiselmis_rufescens	0.9751165595131526
0f20a64bc3023a7020a61f1280de5ed85abf15c7	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote	0.9749230068727366
0f2a8b5860202a747d602ac7b3bc2b6c50cffadd	d__Eukaryota; p__Cryptophyta; c__Cryptophyceae; o__Pyrenomonadales; f__Chroomonadaceae; g__Hemiselmis; s__Hemiselmis_rufescens	0.988119149748186
0f9503247b3fe9d22b3088e47e443149b3f3f436	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote	0.794832766468939
0fc25695a7c9f90f36995e32fd6d98fdc351b929	d__Eukaryota; p__Holozoa; c__Choanoflagellida; o__Craspedida; f__Salpingoecidae; g__Hartaetosiga	0.9045062272108713
101de0d40ca052d12c7878f3230d1b82a7dac611	d__Eukaryota; p__Cercozoa; c__Chlorarachniophyta; o__Chlorarachniophyta; f__Chlorarachniophyta; g__NOR26; s__uncultured_eukaryote	0.9967871107430285
1028f24939cc3671c1e8b75d69ac34aa64544045	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Philaster; s__Philaster_sinensis	0.7328358101478623
105c9375ef8d8d58f5fd2487a6813173513b39d7	d__Eukaryota; p__Cercozoa; c__Phytomyxea; o__Phytomyxea; f__Phytomyxea	0.7173394486262596
106f83fd0ca4ebe35c1ca3c75faa3d5c19c72400	d__Eukaryota	0.9999999999999917
10df4e1560fb62f83e6cb32bd95ed949b86a49fc	d__Eukaryota	1.000000000000009
1200eefe5ad56dff73fa24acddeaebe0ac24152c	d__Eukaryota; p__Cryptophyta; c__Cryptophyceae; o__Pyrenomonadales; f__Chroomonadaceae; g__Hemiselmis; s__Hemiselmis_rufescens	0.9810938832355732
12726d062f0f276ac9f80354ac0d0d7aa2c47ed3	d__Eukaryota; p__Cercozoa	0.9999369931371431
