# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
AJ535175.1.1805	4.0	3.0	1.0	118.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Leptocylindrus; s__Leptocylindrus_danicus
FR874679.1.1789	0.0	14.0	5.0	0.0	12.0	0.0	7.0	73.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_Syndiniales
KF130605.1.1762	12.0	8.0	0.0	27.0	88.0	0.0	0.0	4.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina; s__uncultured_eukaryote
KF130565.1.1758	39.0	59.0	0.0	0.0	0.0	1.0	29.0	31.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
KU843872.1.1504	0.0	11.0	26.0	0.0	3.0	52.0	14.0	2.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__Picochlorum_maculatum
AY851300.1.1802	43.0	49.0	3.0	8.0	23.0	0.0	0.0	0.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__Phaeocystis_globosa
EU793380.1.1676	13.0	47.0	39.0	0.0	4.0	0.0	2.0	4.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_Syndiniales
KJ763128.1.1798	5.0	74.0	4.0	0.0	0.0	11.0	7.0	5.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Peridiniales; f__Peridiniales; g__Heterocapsa
JF489974.1.1778	1.0	96.0	0.0	0.0	0.0	0.0	1.0	5.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__Chaetoceros_calcitrans
KX602084.1.1656	29.0	33.0	25.0	0.0	2.0	2.0	5.0	3.0	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4; s__uncultured_eukaryote
